#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 3           97.554            0.000        0.000        0.000        494801                      278325                      
GPU 4           98.425            0.000        0.000        0.000        484325                      271515                      
GPU 5           98.837            0.000        0.000        0.000        476465                      268372                      
GPU 6           99.581            0.000        0.000        0.000        485360                      272032                      
GPU 7           101.643           0.000        0.000        0.000        484835                      273080                      
GPU 0           97.020            0.000        0.000        0.000        484313                      267315                      
GPU 1           98.338            0.000        0.000        0.000        476479                      270476                      
GPU 2           98.918            0.000        0.000        0.000        482756                      270993                      
GPU 3           97.488            0.000        0.000        0.000        490084                      273084                      
GPU 4           98.391            0.000        0.000        0.000        493757                      280424                      
GPU 5           98.801            0.000        0.000        0.000        482754                      277806                      
GPU 6           99.529            0.000        0.000        0.000        493221                      280942                      
GPU 7           101.607           0.000        0.000        0.000        492198                      279384                      
GPU 0           96.952            0.000        0.000        0.000        493228                      276753                      
GPU 1           98.346            0.000        0.000        0.000        430348                      229064                      
GPU 2           98.949            0.000        0.000        0.000        493759                      280950                      
GPU 3           97.496            0.000        0.000        0.000        450244                      239011                      
GPU 4           98.347            0.000        0.000        0.000        485888                      272034                      
GPU 5           98.797            0.000        0.000        0.000        473843                      267847                      
GPU 6           99.628            0.000        0.000        0.000        240590                      59754                       
GPU 7           101.618           0.000        0.000        0.000        243727                      61849                       
GPU 0           97.068            0.000        0.000        0.000        239013                      48222                       
GPU 1           98.281            0.000        0.000        0.000        259465                      66045                       
GPU 2           99.082            0.000        0.000        0.000        234300                      47174                       
GPU 3           97.476            0.000        0.000        0.000        256308                      55035                       
GPU 4           98.420            0.000        0.000        0.000        240634                      57656                       
GPU 5           98.808            0.000        0.000        0.000        230105                      47698                       
GPU 6           99.587            0.000        0.000        0.000        443957                      224337                      
GPU 7           101.567           0.000        0.000        0.000        446583                      222243                      
GPU 0           96.993            0.000        0.000        0.000        467534                      245298                      
GPU 1           98.340            0.000        0.000        0.000        488531                      283054                      
GPU 2           99.043            0.000        0.000        0.000        465986                      249504                      
GPU 3           97.421            0.000        0.000        0.000        493747                      278322                      
GPU 4           98.428            0.000        0.000        0.000        472335                      245777                      
GPU 5           98.752            0.000        0.000        0.000        448165                      236400                      
GPU 6           99.573            0.000        0.000        0.000        487976                      274650                      
GPU 7           101.594           0.000        0.000        0.000        486946                      274136                      
GPU 0           96.954            0.000        0.000        0.000        481674                      265209                      
GPU 1           98.314            0.000        0.000        0.000        477527                      271524                      
GPU 2           98.862            0.000        0.000        0.000        490608                      276753                      
GPU 3           97.516            0.000        0.000        0.000        485891                      269939                      
GPU 4           98.316            0.000        0.000        0.000        495319                      280419                      
GPU 5           98.734            0.000        0.000        0.000        484322                      276231                      
GPU 6           99.602            0.000        0.000        0.000        489559                      280946                      
GPU 7           101.630           0.000        0.000        0.000        491125                      277273                      
GPU 0           97.118            0.000        0.000        0.000        482733                      265739                      
GPU 1           98.340            0.000        0.000        0.000        478046                      272046                      
GPU 2           99.010            0.000        0.000        0.000        482233                      271518                      
GPU 3           97.487            0.000        0.000        0.000        487464                      271512                      
GPU 4           98.319            0.000        0.000        0.000        498476                      283046                      
GPU 5           98.727            0.000        0.000        0.000        489557                      277800                      
GPU 6           99.612            0.000        0.000        0.000        491126                      281467                      
GPU 7           101.583           0.000        0.000        0.000        490086                      277803                      
GPU 0           97.165            0.000        0.000        0.000        426129                      213327                      
GPU 1           98.311            0.000        0.000        0.000        226405                      44023                       
GPU 2           99.053            0.000        0.000        0.000        429283                      220145                      
GPU 3           97.440            0.000        0.000        0.000        249491                      58703                       
GPU 4           98.375            0.000        0.000        0.000        466024                      253978                      
GPU 5           98.735            0.000        0.000        0.000        433483                      226962                      
GPU 6           99.585            0.000        0.000        0.000        239206                      53368                       
GPU 7           101.599           0.000        0.000        0.000        206514                      23062                       
GPU 0           97.047            0.000        0.000        0.000        264692                      64469                       
GPU 1           98.294            0.000        0.000        0.000        437710                      238512                      
GPU 2           98.953            0.000        0.000        0.000        259984                      65520                       
GPU 3           97.488            0.000        0.000        0.000        451295                      230626                      
GPU 4           98.379            0.000        0.000        0.000        204422                      15200                       
GPU 5           98.741            0.000        0.000        0.000        255263                      64995                       
GPU 6           99.569            0.000        0.000        0.000        455485                      235342                      
GPU 7           101.637           0.000        0.000        0.000        490087                      266272                      
GPU 0           97.210            0.000        0.000        0.000        491640                      276219                      
GPU 1           98.252            0.000        0.000        0.000        488515                      280424                      
GPU 2           99.012            0.000        0.000        0.000        493237                      280427                      
GPU 3           97.478            0.000        0.000        0.000        495846                      280420                      
GPU 4           98.403            0.000        0.000        0.000        485883                      272031                      
GPU 5           98.757            0.000        0.000        0.000        509021                      295861                      
GPU 6           99.616            0.000        0.000        0.000        484833                      271506                      
GPU 7           101.597           0.000        0.000        0.000        485372                      272563                      
GPU 0           97.198            0.000        0.000        0.000        492693                      276222                      
GPU 1           98.248            0.000        0.000        0.000        485371                      278328                      
GPU 2           99.012            0.000        0.000        0.000        490620                      278857                      
GPU 3           97.476            0.000        0.000        0.000        493230                      276753                      
GPU 4           98.439            0.000        0.000        0.000        486427                      273615                      
GPU 5           98.760            0.000        0.000        0.000        474894                      267848                      
GPU 6           99.594            0.000        0.000        0.000        481704                      269943                      
GPU 7           101.640           0.000        0.000        0.000        483274                      271514                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.168            0.000        0.000        0.000        495319                      279894                      
