#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 6           248.237           0.281        0.053        0.114        192634727                   2295095572                  
GPU 7           200.517           0.281        0.053        0.114        3676063317                  4587096876                  
GPU 0           198.841           0.255        0.016        0.119        375841768                   4075545386                  
GPU 1           214.270           0.245        0.029        0.117        233660701                   3039143036                  
GPU 2           206.489           0.244        0.015        0.113        214171982                   2597035827                  
GPU 3           189.794           0.247        0.016        0.116        3612930930                  2963298809                  
GPU 4           201.254           0.255        0.016        0.114        553690631                   6982934889                  
GPU 5           216.056           0.257        0.016        0.120        212363805                   3817485200                  
GPU 6           216.949           0.281        0.016        0.114        209406324                   4586268013                  
GPU 7           200.517           0.257        0.016        0.119        1974763431                  2953447111                  
GPU 0           200.155           0.248        0.015        0.116        345539163                   4206915792                  
GPU 1           213.541           0.246        0.014        0.113        349527510                   4343941587                  
GPU 2           201.381           0.244        0.014        0.113        184824582                   2389785089                  
GPU 3           186.868           0.246        0.014        0.114        1907922999                  2345293648                  
GPU 4           197.881           0.247        0.014        0.114        516579111                   6291207825                  
GPU 5           212.545           0.248        0.015        0.114        293343417                   4027086074                  
GPU 6           211.251           0.244        0.014        0.113        344280043                   4751296414                  
GPU 7           195.763           0.241        0.015        0.112        2206530418                  4981939501                  
GPU 0           205.866           0.248        0.022        0.114        545430323                   4904945373                  
GPU 1           217.043           0.246        0.020        0.111        337432515                   4210536634                  
GPU 2           208.929           0.249        0.022        0.114        349795038                   4301700783                  
GPU 3           193.804           0.248        0.021        0.112        1911136257                  2750075033                  
GPU 4           205.168           0.250        0.022        0.114        628168766                   5751401071                  
GPU 5           217.000           0.250        0.022        0.115        330037043                   4191513802                  
GPU 6           217.248           0.248        0.022        0.113        382216365                   3804123479                  
GPU 7           202.133           0.244        0.017        0.112        2039625960                  4326664527                  
GPU 0           205.866           0.248        0.015        0.114        503987215                   4904945373                  
GPU 1           212.702           0.246        0.020        0.111        354751915                   4210536634                  
GPU 2           208.929           0.246        0.022        0.114        397714592                   4301700783                  
GPU 3           193.804           0.246        0.034        0.112        1911136257                  4200543743                  
GPU 4           205.168           0.250        0.022        0.111        628168766                   5965394686                  
GPU 5           217.000           0.250        0.022        0.115        337754488                   4399657660                  
GPU 6           217.248           0.248        0.022        0.111        307679301                   3804123479                  
GPU 7           202.133           0.250        0.019        0.115        3077389205                  4151004599                  
GPU 0           202.144           0.278        0.057        0.109        2875874898                  6585950370                  
GPU 1           247.399           0.275        0.057        0.108        279322617                   3562450735                  
GPU 2           217.090           0.287        0.063        0.111        293948891                   3778271338                  
GPU 3           204.865           0.256        0.036        0.116        2961389065                  5381415062                  
GPU 4           209.259           0.273        0.039        0.116        1805646899                  6840537140                  
GPU 5           220.933           0.281        0.058        0.111        264547431                   3310938402                  
GPU 6           225.092           0.262        0.027        0.116        260141767                   4068274801                  
GPU 7           207.895           0.265        0.026        0.116        2511893782                  4834732344                  
GPU 0           207.002           0.252        0.016        0.117        513234411                   6203381213                  
GPU 1           214.284           0.250        0.015        0.115        381273527                   4814066208                  
GPU 2           207.411           0.253        0.016        0.118        408741521                   5076433872                  
GPU 3           191.903           0.271        0.016        0.117        2051269517                  4299244145                  
GPU 4           200.644           0.252        0.016        0.117        497873437                   6056623045                  
GPU 5           217.054           0.254        0.016        0.117        358471484                   4479249078                  
GPU 6           216.968           0.250        0.015        0.115        322996830                   3933793390                  
GPU 7           200.598           0.261        0.016        0.117        2047241504                  4361715715                  
GPU 0           207.002           0.252        0.014        0.117        759811324                   6203381213                  
GPU 1           224.011           0.258        0.015        0.115        408599929                   4814066208                  
GPU 2           207.411           0.260        0.016        0.116        315224483                   5076433872                  
GPU 3           191.903           0.252        0.023        0.117        2051269517                  4299244145                  
GPU 4           200.644           0.252        0.016        0.113        497873437                   6478560827                  
GPU 5           217.054           0.254        0.016        0.117        358471484                   5600297169                  
GPU 6           216.968           0.250        0.015        0.113        318712389                   3933793390                  
GPU 7           200.598           0.252        0.016        0.117        2001918522                  4361715715                  
GPU 0           214.802           0.275        0.037        0.117        747906098                   4092487935                  
GPU 1           234.383           0.277        0.037        0.117        205026065                   2374391944                  
GPU 2           219.710           0.250        0.014        0.116        207728551                   2299027125                  
GPU 3           205.801           0.275        0.037        0.116        2115851351                  2536771396                  
GPU 4           213.309           0.249        0.014        0.115        375686308                   4286436324                  
GPU 5           230.180           0.252        0.015        0.117        227988066                   2607719106                  
GPU 6           230.964           0.282        0.042        0.117        164706262                   1882356633                  
GPU 7           214.578           0.250        0.014        0.115        1953308247                  2263324134                  
GPU 0           201.552           0.251        0.015        0.116        369635793                   4159892593                  
GPU 1           218.125           0.252        0.015        0.117        227891622                   2587391739                  
GPU 2           206.092           0.275        0.035        0.118        191046557                   2158214797                  
GPU 3           191.794           0.251        0.015        0.116        1949506129                  2334068654                  
GPU 4           199.171           0.272        0.032        0.118        670811346                   4269682922                  
GPU 5           214.967           0.278        0.037        0.117        211245826                   2426722433                  
GPU 6           214.464           0.250        0.014        0.115        183460994                   2065836376                  
GPU 7           200.507           0.278        0.036        0.120        2104425261                  2525340710                  
GPU 0           218.990           0.251        0.035        0.116        369635793                   4159892593                  
GPU 1           218.125           0.252        0.015        0.117        227891622                   2393542678                  
GPU 2           206.092           0.254        0.036        0.119        214331568                   2158214797                  
GPU 3           207.117           0.251        0.032        0.116        1949506129                  2334068654                  
GPU 4           199.171           0.272        0.032        0.116        375888460                   4307035838                  
GPU 5           214.967           0.278        0.037        0.117        211245826                   2649234945                  
GPU 6           214.464           0.250        0.014        0.117        183460994                   1957334837                  
GPU 7           200.507           0.278        0.036        0.120        2144456394                  2525340710                  
GPU 0           199.919           0.251        0.015        0.117        367880191                   4181054489                  
GPU 1           215.755           0.251        0.014        0.115        223618006                   2582614704                  
GPU 2           204.615           0.252        0.015        0.119        194759262                   2336852898                  
GPU 3           191.185           0.251        0.014        0.115        1954521679                  2318501186                  
GPU 4           196.498           0.278        0.038        0.117        792417368                   4269303711                  
GPU 5           215.448           0.255        0.015        0.118        231243073                   2658291331                  
GPU 6           214.010           0.253        0.015        0.118        185661187                   2092100702                  
GPU 7           198.543           0.252        0.015        0.117        1949817482                  2278893211                  
GPU 0           216.881           0.276        0.036        0.116        789602083                   4177302494                  
GPU 1           236.193           0.279        0.038        0.117        209838704                   2386835928                  
GPU 2           224.134           0.279        0.038        0.117        207380735                   2152974514                  
GPU 3           207.545           0.277        0.038        0.115        2187583682                  2589336810                  
GPU 4           214.991           0.249        0.014        0.113        371323698                   4276935865                  
GPU 5           232.495           0.282        0.039        0.119        210408841                   2386728552                  
GPU 6           230.712           0.270        0.032        0.115        169433554                   1929893812                  
GPU 7           215.389           0.275        0.034        0.116        2153312561                  2555838337                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           216.881           0.276        0.015        0.116        789602083                   4177302494                  
GPU 1           236.193           0.279        0.038        0.117        209838704                   2386835928                  
GPU 2           224.134           0.279        0.015        0.117        194377546                   2152974514                  
GPU 3           191.764           0.277        0.014        0.115        2187583682                  2589336810                  
GPU 4           214.991           0.249        0.014        0.116        515935036                   4291381495                  
GPU 5           232.495           0.282        0.039        0.119        210408841                   2386728552                  
GPU 6           230.712           0.270        0.032        0.114        169433554                   2069423035                  
GPU 7           215.389           0.275        0.034        0.116        1953846594                  2555838337                  
GPU 0           201.891           0.253        0.041        0.118        368228569                   4189706083                  
GPU 1           238.211           0.268        0.033        0.115        201996272                   2588288810                  
GPU 2           223.917           0.253        0.044        0.118        204929552                   2306387778                  
GPU 3           209.345           0.250        0.041        0.115        1949076363                  2323356011                  
GPU 4           216.242           0.252        0.020        0.114        1008122248                  4207338594                  
GPU 5           233.724           0.272        0.034        0.117        207131368                   2379230011                  
GPU 6           233.787           0.248        0.014        0.115        182247660                   1870212402                  
GPU 7           216.961           0.272        0.037        0.115        2322828056                  2727782086                  
GPU 0           221.074           0.278        0.015        0.116        1105651696                  4248596091                  
GPU 1           217.239           0.252        0.015        0.115        224011920                   2360190543                  
GPU 2           204.920           0.279        0.015        0.115        183545164                   2038960233                  
GPU 3           191.951           0.276        0.015        0.114        2392080646                  2771901382                  
GPU 4           198.549           0.277        0.037        0.117        375743058                   4512194329                  
GPU 5           214.373           0.254        0.015        0.117        228224515                   2617407921                  
GPU 6           218.220           0.276        0.041        0.119        165891678                   2095497226                  
GPU 7           199.182           0.252        0.015        0.116        1953762933                  2328480132                  
GPU 0           201.577           0.253        0.044        0.118        370865498                   4199244026                  
GPU 1           239.081           0.282        0.040        0.118        207947924                   2571188805                  
