#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 3           71           61                448.259           945          4                           
GPU 4           71           62                448.422           915          4                           
GPU 5           71           62                448.647           840          4                           
GPU 6           70           62                449.100           885          4                           
GPU 7           70           61                447.989           885          4                           
GPU 0           69           62                449.067           915          4                           
GPU 1           69           62                447.259           885          4                           
GPU 2           69           61                448.752           915          4                           
GPU 3           71           61                448.408           930          4                           
GPU 4           71           62                447.976           885          4                           
GPU 5           71           62                448.986           855          4                           
GPU 6           70           62                448.423           885          4                           
GPU 7           70           60                448.026           885          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           69           62                449.264           900          4                           
GPU 1           69           62                447.082           885          4                           
GPU 2           69           61                447.187           930          4                           
GPU 3           71           61                448.759           900          4                           
GPU 4           71           62                448.608           930          4                           
GPU 5           71           62                449.083           855          4                           
GPU 6           70           62                448.499           885          4                           
GPU 7           70           60                448.081           885          4                           
GPU 0           70           62                448.778           900          4                           
GPU 1           69           61                447.075           885          4                           
GPU 2           69           61                448.721           915          4                           
GPU 3           71           61                448.429           930          4                           
GPU 4           71           63                448.236           915          4                           
GPU 5           71           62                449.179           855          4                           
GPU 6           70           62                448.762           885          4                           
GPU 7           70           61                447.488           915          4                           
GPU 0           70           62                449.273           885          4                           
GPU 1           69           62                446.996           885          4                           
GPU 2           69           61                447.487           900          4                           
GPU 3           71           61                448.888           915          4                           
GPU 4           71           62                448.190           885          4                           
GPU 5           71           62                449.251           855          4                           
GPU 6           70           62                448.736           885          4                           
GPU 7           70           61                448.330           885          4                           
GPU 0           69           62                449.147           915          4                           
GPU 1           69           62                447.218           885          4                           
GPU 2           69           61                447.821           945          4                           
GPU 3           71           61                448.750           930          4                           
GPU 4           71           63                447.636           930          4                           
GPU 5           71           62                448.950           855          4                           
GPU 6           70           62                448.161           870          4                           
GPU 7           70           60                447.952           885          4                           
GPU 0           69           62                449.689           915          4                           
GPU 1           69           62                447.203           885          4                           
GPU 2           69           61                448.007           930          4                           
GPU 3           71           61                448.919           930          4                           
GPU 4           71           63                448.360           855          4                           
GPU 5           71           62                448.524           840          4                           
GPU 6           70           62                448.919           885          4                           
GPU 7           70           61                448.387           885          4                           
GPU 0           70           62                449.410           915          4                           
GPU 1           69           62                447.236           885          4                           
GPU 2           69           61                447.335           960          4                           
GPU 3           71           61                448.397           945          4                           
GPU 4           71           63                448.198           915          4                           
GPU 5           71           62                449.084           855          4                           
GPU 6           70           62                448.145           870          4                           
GPU 7           70           61                448.116           900          4                           
GPU 0           69           62                448.884           900          4                           
GPU 1           69           62                447.492           885          4                           
GPU 2           69           61                448.007           945          4                           
GPU 3           71           61                449.040           900          4                           
GPU 4           71           63                448.022           915          4                           
GPU 5           71           62                448.267           840          4                           
GPU 6           70           62                449.162           885          4                           
GPU 7           70           60                448.213           900          4                           
GPU 0           70           62                449.472           885          4                           
GPU 1           69           61                447.322           900          4                           
GPU 2           69           61                447.957           900          4                           
GPU 3           71           61                448.247           915          4                           
GPU 4           71           63                447.818           915          4                           
GPU 5           71           62                448.721           825          4                           
GPU 6           70           62                448.471           885          4                           
GPU 7           70           61                447.477           900          4                           
GPU 0           70           62                449.523           885          4                           
GPU 1           69           62                447.447           885          4                           
GPU 2           69           61                448.236           900          4                           
GPU 3           71           61                448.685           870          4                           
GPU 4           71           63                447.837           870          4                           
GPU 5           71           62                449.270           840          4                           
GPU 6           70           62                448.827           870          4                           
GPU 7           70           61                448.484           900          4                           
GPU 0           70           62                449.676           915          4                           
GPU 1           69           62                447.051           885          4                           
GPU 2           69           61                448.535           915          4                           
GPU 3           71           61                449.552           915          4                           
GPU 4           71           63                448.120           915          4                           
GPU 5           71           62                448.672           840          4                           
GPU 6           70           62                449.029           870          4                           
GPU 7           70           61                447.937           900          4                           
GPU 0           70           62                449.422           915          4                           
GPU 1           69           62                447.774           885          4                           
GPU 2           69           61                448.160           915          4                           
GPU 3           71           61                449.413           960          4                           
GPU 4           71           63                447.869           915          4                           
GPU 5           71           62                448.605           840          4                           
GPU 6           70           62                448.531           885          4                           
GPU 7           70           61                447.974           900          4                           
GPU 0           70           62                448.871           885          4                           
GPU 1           69           61                447.380           900          4                           
GPU 2           69           61                446.608           960          4                           
GPU 3           71           62                448.880           930          4                           
GPU 4           71           63                448.271           930          4                           
GPU 5           71           62                448.422           840          4                           
GPU 6           70           62                449.236           885          4                           
GPU 7           70           61                448.084           885          4                           
GPU 0           70           62                448.763           870          4                           
GPU 1           69           62                446.791           885          4                           
GPU 2           69           61                447.586           915          4                           
GPU 3           71           61                449.300           870          4                           
GPU 4           71           63                447.724           900          4                           
GPU 5           71           62                448.287           840          4                           
GPU 6           70           62                448.997           885          4                           
GPU 7           70           61                448.784           930          4                           
GPU 0           70           62                448.900           900          4                           
GPU 1           69           62                447.274           885          4                           
GPU 2           69           61                447.507           930          4                           
GPU 3           71           61                448.759           900          4                           
GPU 4           71           62                447.986           870          4                           
GPU 5           71           62                449.047           825          4                           
GPU 6           70           62                448.988           885          4                           
GPU 7           70           61                447.824           900          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           69           63                448.607           930          4                           
GPU 1           69           62                447.251           885          4                           
GPU 2           70           61                448.076           900          4                           
GPU 3           71           61                448.626           915          4                           
GPU 4           71           63                448.609           915          4                           
GPU 5           71           62                448.846           840          4                           
GPU 6           70           62                448.746           885          4                           
GPU 7           70           61                447.468           915          4                           
GPU 0           70           62                449.192           915          4                           
GPU 1           69           62                447.315           885          4                           
GPU 2           70           61                447.302           945          4                           
GPU 3           71           61                448.868           930          4                           
GPU 4           71           63                447.606           915          4                           
GPU 5           71           62                448.417           840          4                           
GPU 6           70           62                448.958           870          4                           
GPU 7           70           61                448.655           870          4                           
GPU 0           70           62                449.737           855          4                           
GPU 1           69           62                447.577           885          4                           
GPU 2           69           61                448.431           915          4                           
GPU 3           71           61                449.054           915          4                           
GPU 4           71           63                448.289           915          4                           
GPU 5           71           62                448.676           855          4                           
GPU 6           70           62                448.740           885          4                           
GPU 7           70           61                447.924           900          4                           
GPU 0           70           62                449.689           915          4                           
GPU 1           69           62                447.276           885          4                           
GPU 2           69           61                447.223           915          4                           
GPU 3           71           61                449.389           900          4                           
GPU 4           71           63                448.095           900          4                           
GPU 5           71           62                448.182           855          4                           
GPU 6           70           62                448.839           885          4                           
GPU 7           70           61                448.494           915          4                           
GPU 0           70           62                450.017           915          4                           
GPU 1           69           62                446.843           900          4                           
GPU 2           69           61                447.287           960          4                           
GPU 3           71           61                448.947           900          4                           
GPU 4           71           63                448.438           930          4                           
GPU 5           71           62                449.038           840          4                           
GPU 6           70           62                448.508           870          4                           
GPU 7           70           61                448.179           915          4                           
GPU 0           70           62                449.280           900          4                           
GPU 1           69           62                447.160           885          4                           
GPU 2           69           61                448.236           930          4                           
GPU 3           71           62                448.763           930          4                           
GPU 4           71           63                448.920           870          4                           
GPU 5           71           62                448.767           855          4                           
GPU 6           70           62                448.887           885          4                           
GPU 7           70           61                448.713           915          4                           
GPU 0           70           62                449.462           885          4                           
GPU 1           69           62                447.023           870          4                           
GPU 2           69           61                447.581           945          4                           
GPU 3           71           61                448.821           930          4                           
GPU 4           71           63                448.055           900          4                           
GPU 5           71           62                448.651           840          4                           
GPU 6           70           62                448.987           885          4                           
GPU 7           70           61                448.179           915          4                           
GPU 0           70           62                449.125           900          4                           
GPU 1           69           62                447.418           885          4                           
GPU 2           69           61                448.284           930          4                           
GPU 3           71           61                448.930           930          4                           
GPU 4           71           63                448.548           915          4                           
GPU 5           71           62                448.553           840          4                           
GPU 6           70           62                448.898           885          4                           
GPU 7           70           61                448.179           900          4                           
GPU 0           70           62                448.468           900          4                           
GPU 1           69           62                447.082           885          4                           
GPU 2           70           61                447.367           900          4                           
GPU 3           71           62                448.799           915          4                           
GPU 4           71           63                448.054           900          4                           
GPU 5           71           62                449.108           855          4                           
GPU 6           70           62                448.691           885          4                           
GPU 7           70           61                447.596           900          4                           
GPU 0           70           62                448.956           930          4                           
GPU 1           69           62                447.077           885          4                           
GPU 2           69           61                447.738           930          4                           
GPU 3           71           62                448.600           945          4                           
GPU 4           71           63                448.385           915          4                           
GPU 5           71           62                448.280           855          4                           
GPU 6           70           62                448.590           885          4                           
GPU 7           70           60                448.285           900          4                           
GPU 0           70           63                449.488           900          4                           
GPU 1           69           62                446.803           885          4                           
GPU 2           70           61                447.946           960          4                           
GPU 3           71           62                448.942           915          4                           
GPU 4           71           63                447.876           900          4                           
GPU 5           71           62                448.337           855          4                           
GPU 6           70           62                448.994           885          4                           
GPU 7           70           61                448.402           885          4                           
GPU 0           70           62                449.149           885          4                           
GPU 1           69           62                447.276           885          4                           
GPU 2           69           61                448.430           930          4                           
GPU 3           71           62                448.535           915          4                           
GPU 4           71           62                448.774           900          4                           
GPU 5           71           62                448.711           825          4                           
GPU 6           70           62                448.532           885          4                           
GPU 7           70           61                447.946           915          4                           
GPU 0           70           62                449.762           900          4                           
GPU 1           69           62                447.412           900          4                           
GPU 2           69           61                447.928           960          4                           
GPU 3           71           62                448.370           915          4                           
GPU 4           71           63                447.955           915          4                           
GPU 5           71           62                448.807           840          4                           
GPU 6           70           62                448.557           870          4                           
GPU 7           70           60                448.431           915          4                           
GPU 0           70           62                449.422           885          4                           
GPU 1           69           62                446.912           885          4                           
GPU 2           70           61                447.804           945          4                           
GPU 3           71           61                449.268           930          4                           
GPU 4           71           63                448.661           900          4                           
GPU 5           71           62                448.691           840          4                           
GPU 6           70           62                448.685           885          4                           
GPU 7           70           60                447.866           915          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           62                448.696           900          4                           
GPU 1           69           62                447.892           900          4                           
GPU 2           70           61                447.001           930          4                           
GPU 3           71           62                449.437           930          4                           
GPU 4           71           63                448.484           915          4                           
GPU 5           71           62                449.367           855          4                           
GPU 6           70           62                448.877           885          4                           
GPU 7           70           60                448.277           900          4                           
GPU 0           70           62                448.241           915          4                           
GPU 1           69           62                446.811           900          4                           
GPU 2           70           61                447.911           945          4                           
GPU 3           71           62                448.895           930          4                           
GPU 4           71           63                448.692           930          4                           
GPU 5           71           62                448.915           840          4                           
GPU 6           70           62                448.766           885          4                           
GPU 7           70           60                448.164           930          4                           
GPU 0           69           62                448.850           900          4                           
GPU 1           69           62                447.585           885          4                           
GPU 2           69           61                447.739           930          4                           
GPU 3           71           61                449.011           930          4                           
GPU 4           71           62                448.019           915          4                           
GPU 5           71           62                448.850           855          4                           
GPU 6           70           62                448.780           885          4                           
GPU 7           70           61                448.370           915          4                           
GPU 0           69           63                448.861           900          4                           
GPU 1           69           62                446.677           900          4                           
GPU 2           70           61                447.860           915          4                           
GPU 3           71           62                448.876           915          4                           
GPU 4           71           62                448.494           915          4                           
GPU 5           71           62                448.457           855          4                           
GPU 6           70           62                448.865           885          4                           
GPU 7           70           60                447.767           885          4                           
GPU 0           70           62                449.121           900          4                           
GPU 1           69           62                447.911           885          4                           
GPU 2           69           61                447.615           915          4                           
GPU 3           71           62                449.232           900          4                           
GPU 4           71           62                448.392           930          4                           
GPU 5           71           62                449.029           855          4                           
GPU 6           70           62                448.789           885          4                           
GPU 7           70           61                447.679           900          4                           
GPU 0           70           62                449.083           885          4                           
GPU 1           69           61                447.231           900          4                           
GPU 2           70           61                448.232           915          4                           
GPU 3           71           61                448.406           930          4                           
GPU 4           71           62                448.404           870          4                           
GPU 5           71           62                448.424           855          4                           
GPU 6           70           62                448.584           885          4                           
GPU 7           70           60                448.240           900          4                           
GPU 0           69           62                449.354           855          4                           
GPU 1           69           62                446.993           900          4                           
GPU 2           70           61                448.324           915          4                           
GPU 3           71           61                448.275           915          4                           
GPU 4           71           63                448.186           930          4                           
GPU 5           71           62                449.136           855          4                           
GPU 6           70           62                448.611           885          4                           
GPU 7           70           60                448.248           870          4                           
GPU 0           70           62                448.455           900          4                           
GPU 1           69           62                447.178           900          4                           
GPU 2           69           61                447.374           945          4                           
GPU 3           71           61                448.951           930          4                           
GPU 4           71           62                448.228           930          4                           
GPU 5           71           62                448.443           855          4                           
GPU 6           70           62                448.734           885          4                           
GPU 7           70           60                448.503           930          4                           
GPU 0           70           62                449.140           885          4                           
GPU 1           69           62                447.264           900          4                           
GPU 2           70           61                448.166           945          4                           
GPU 3           71           62                448.584           915          4                           
GPU 4           71           63                448.150           945          4                           
GPU 5           71           62                448.787           840          4                           
GPU 6           70           62                448.718           885          4                           
GPU 7           70           60                448.316           885          4                           
GPU 0           70           62                448.961           915          4                           
GPU 1           69           62                447.240           900          4                           
GPU 2           70           61                448.177           945          4                           
GPU 3           71           61                448.555           930          4                           
GPU 4           71           63                448.678           855          4                           
GPU 5           71           62                448.570           840          4                           
GPU 6           70           62                448.942           885          4                           
GPU 7           70           60                448.325           915          4                           
GPU 0           70           62                448.980           900          4                           
GPU 1           69           62                447.489           915          4                           
GPU 2           69           61                447.105           945          4                           
GPU 3           71           62                448.907           915          4                           
GPU 4           71           63                448.047           945          4                           
GPU 5           71           62                449.272           855          4                           
GPU 6           70           62                448.185           885          4                           
GPU 7           70           61                448.178           900          4                           
GPU 0           70           62                449.202           885          4                           
GPU 1           69           62                447.338           900          4                           
GPU 2           70           61                447.704           900          4                           
GPU 3           71           62                448.106           930          4                           
GPU 4           71           63                448.256           885          4                           
GPU 5           71           62                449.086           855          4                           
GPU 6           70           62                448.585           885          4                           
GPU 7           70           61                448.578           900          4                           
GPU 0           70           62                449.130           915          4                           
GPU 1           69           61                447.087           900          4                           
GPU 2           70           61                447.978           945          4                           
GPU 3           71           62                448.830           900          4                           
GPU 4           71           63                447.725           930          4                           
GPU 5           71           62                448.812           825          4                           
GPU 6           70           62                448.899           885          4                           
GPU 7           70           61                448.196           915          4                           
GPU 0           70           62                449.378           885          4                           
GPU 1           69           62                447.272           900          4                           
GPU 2           70           61                447.566           945          4                           
GPU 3           71           62                449.012           930          4                           
GPU 4           71           63                448.480           945          4                           
GPU 5           71           62                448.507           870          4                           
GPU 6           70           62                448.873           885          4                           
GPU 7           70           61                448.090           885          4                           
#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           70           63                449.058           885          4                           
GPU 1           69           62                447.358           900          4                           
GPU 2           70           61                448.190           930          4                           
GPU 3           71           62                449.303           930          4                           
GPU 4           71           63                448.397           915          4                           
GPU 5           71           62                448.895           855          4                           
GPU 6           70           62                448.516           885          4                           
GPU 7           70           61                448.212           900          4                           
GPU 0           70           62                449.592           915          4                           
GPU 1           69           62                447.157           900          4                           
GPU 2           70           61                447.966           930          4                           
GPU 3           71           62                449.080           915          4                           
GPU 4           71           63                448.280           930          4                           
GPU 5           71           62                449.005           855          4                           
GPU 6           70           62                448.432           885          4                           
GPU 7           70           61                447.551           915          4                           
GPU 0           70           62                448.851           870          4                           
GPU 1           69           62                446.923           870          4                           
GPU 2           70           61                448.031           915          4                           
GPU 3           71           62                448.732           945          4                           
GPU 4           71           63                447.904           900          4                           
GPU 5           71           62                448.119           840          4                           
GPU 6           70           62                449.405           885          4                           
GPU 7           70           61                447.920           930          4                           
GPU 0           70           62                448.633           900          4                           
GPU 1           69           62                446.845           900          4                           
GPU 2           70           61                447.830           915          4                           
GPU 3           71           62                448.568           915          4                           
GPU 4           71           63                447.556           900          4                           
GPU 5           71           62                448.557           840          4                           
GPU 6           70           62                448.796           885          4                           
GPU 7           70           61                447.905           900          4                           
GPU 0           70           62                449.197           915          4                           
GPU 1           69           62                447.041           885          4                           
GPU 2           70           61                448.632           915          4                           
GPU 3           71           62                448.528           885          4                           
GPU 4           71           63                448.686           930          4                           
GPU 5           71           62                448.798           855          4                           
GPU 6           70           62                449.151           885          4                           
GPU 7           70           61                447.769           885          4                           
GPU 0           70           62                449.089           900          4                           
GPU 1           69           62                446.896           885          4                           
GPU 2           70           61                447.539           945          4                           
GPU 3           71           62                449.335           900          4                           
GPU 4           71           63                447.675           885          4                           
GPU 5           71           62                448.662           855          4                           
GPU 6           70           62                448.703           885          4                           
GPU 7           70           61                448.216           870          4                           
GPU 0           70           62                450.155           900          4                           
GPU 1           69           62                446.858           885          4                           
GPU 2           70           61                448.659           915          4                           
GPU 3           71           62                449.587           900          4                           
GPU 4           71           63                448.538           915          4                           
GPU 5           71           62                448.896           840          4                           
GPU 6           70           62                448.397           885          4                           
GPU 7           70           61                448.440           900          4                           
GPU 0           70           62                448.941           915          4                           
GPU 1           69           62                447.210           900          4                           
GPU 2           70           61                448.258           900          4                           
GPU 3           71           62                448.529           915          4                           
GPU 4           71           63                448.387           900          4                           
GPU 5           71           62                448.164           840          4                           
GPU 6           70           62                448.715           885          4                           
GPU 7           70           61                448.403           900          4                           
