#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 6           72.248            0.000        0.000        0.000        499451                      292430                      
GPU 7           71.703            0.000        0.000        0.000        497356                      298728                      
GPU 0           420.136           0.672        0.077        0.459        11020807                    69685776                    
GPU 1           70.722            0.000        0.000        0.000        510413                      310746                      
GPU 2           70.065            0.000        0.000        0.000        501037                      303976                      
GPU 3           69.561            0.000        0.000        0.000        509349                      299745                      
GPU 4           71.251            0.000        0.000        0.000        499971                      302393                      
GPU 5           72.149            0.000        0.000        0.000        500452                      292411                      
GPU 6           72.190            0.000        0.000        0.000        493684                      301348                      
GPU 7           71.655            0.000        0.000        0.000        500487                      302388                      
GPU 0           345.107           0.454        0.111        0.197        5437634                     41154338                    
GPU 1           70.738            0.000        0.000        0.000        509869                      303418                      
GPU 2           70.066            0.000        0.000        0.000        499472                      303457                      
GPU 3           69.363            0.000        0.000        0.000        508309                      305518                      
GPU 4           71.195            0.000        0.000        0.000        499438                      299768                      
GPU 5           72.136            0.000        0.000        0.000        508305                      299743                      
GPU 6           72.173            0.000        0.000        0.000        499961                      296105                      
GPU 7           71.623            0.000        0.000        0.000        490231                      297490                      
GPU 0           473.628           0.694        0.180        0.272        7443237                     49020138                    
GPU 1           70.706            0.000        0.000        0.000        243679                      302358                      
GPU 2           70.030            0.000        0.000        0.000        516242                      304504                      
GPU 3           69.526            0.000        0.000        0.000        511468                      64980                       
GPU 4           71.286            0.000        0.000        0.000        499451                      300299                      
GPU 5           72.083            0.000        0.000        0.000        507268                      298177                      
GPU 6           72.125            0.000        0.000        0.000        388338                      301339                      
GPU 7           71.606            0.000        0.000        0.000        495786                      298205                      
GPU 0           409.125           0.661        0.073        0.436        10809416                    69847193                    
GPU 1           70.711            0.000        0.000        0.000        477390                      53976                       
GPU 2           69.894            0.000        0.000        0.000        512041                      318650                      
GPU 3           69.547            0.000        0.000        0.000        253632                      252581                      
GPU 4           71.218            0.000        0.000        0.000        493673                      295051                      
GPU 5           72.010            0.000        0.000        0.000        503602                      293462                      
