#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 4           266.231           0.315        0.097        0.126        2113787011                  6243107622                  3306472784                  2855634397                  
GPU 5           278.769           0.312        0.096        0.125        266418725                   2954822428                  6162595787                  6161926485                  
GPU 6           284.716           0.315        0.097        0.126        277998306                   3137352618                  6154380677                  6154381630                  
GPU 7           265.549           0.316        0.097        0.126        2474794939                  4798089812                  2853779131                  3303683668                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           267.440           0.314        0.097        0.125        2024015173                  4760842255                  3299367491                  2855395449                  
GPU 1           287.479           0.309        0.095        0.126        252521379                   2793819461                  6184500158                  6184499109                  
GPU 2           269.640           0.318        0.097        0.127        294828761                   3273509830                  6185366698                  6185365650                  
GPU 3           255.030           0.314        0.096        0.126        2436716932                  4518575401                  2853470678                  3305204901                  
GPU 4           266.231           0.315        0.097        0.126        2113787011                  6243107622                  3306472784                  2855634397                  
GPU 5           278.769           0.312        0.096        0.125        266418725                   2954822428                  6162595787                  6161926485                  
