#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 1           184.888           0.146        0.055        0.042        11089373453                 10173610973                 0                           0                           
GPU 2           175.925           0.150        0.057        0.042        11099999587                 10261114874                 0                           0                           
GPU 3           170.075           0.146        0.055        0.042        11106838975                 10249541782                 0                           0                           
GPU 4           173.218           0.144        0.054        0.042        11107051572                 10235496545                 0                           0                           
GPU 5           176.684           0.145        0.055        0.042        11100859867                 10244010066                 0                           0                           
GPU 6           179.023           0.152        0.055        0.042        11093272208                 10236887501                 0                           0                           
GPU 7           180.175           0.147        0.055        0.042        11094564963                 10236381350                 0                           0                           
GPU 0           179.344           0.158        0.058        0.044        11091842645                 10181437266                 0                           0                           
GPU 1           179.417           0.151        0.060        0.043        11032733766                 10198673730                 0                           0                           
GPU 2           177.588           0.153        0.059        0.042        11127468182                 10198810233                 0                           0                           
GPU 3           174.478           0.149        0.057        0.042        11057337127                 10246459197                 0                           0                           
GPU 4           175.450           0.144        0.056        0.041        11091841452                 10249823215                 0                           0                           
GPU 5           178.569           0.150        0.058        0.043        11105836803                 10246437605                 0                           0                           
GPU 6           182.034           0.160        0.058        0.043        11106780156                 10245042726                 0                           0                           
GPU 7           184.342           0.149        0.057        0.042        11123057254                 10261745218                 0                           0                           
GPU 0           178.843           0.157        0.065        0.043        10939532614                 10086229729                 0                           0                           
GPU 1           188.520           0.157        0.064        0.043        11103400305                 10239803194                 0                           0                           
GPU 2           184.143           0.162        0.066        0.044        10919760103                 10067228397                 0                           0                           
GPU 3           181.639           0.158        0.065        0.043        10938960723                 10084725016                 0                           0                           
GPU 4           184.892           0.159        0.065        0.043        10960322540                 10103447275                 0                           0                           
GPU 5           186.883           0.161        0.066        0.043        10955300373                 10103637521                 0                           0                           
GPU 6           191.950           0.160        0.066        0.043        10954042403                 10101090522                 0                           0                           
GPU 7           187.845           0.155        0.064        0.043        10947148828                 10092748451                 0                           0                           
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           183.977           0.161        0.065        0.044        10939532614                 10080458968                 0                           0                           
GPU 1           188.520           0.157        0.070        0.044        11103400305                 10116511088                 0                           0                           
GPU 2           184.143           0.162        0.066        0.044        10919760103                 10063300559                 0                           0                           
GPU 3           181.639           0.158        0.065        0.043        10905757600                 10084725016                 0                           0                           
GPU 4           184.892           0.159        0.065        0.043        10960322540                 10103447275                 0                           0                           
GPU 5           186.883           0.161        0.066        0.043        10955300373                 10103637521                 0                           0                           
